Month,Date,Time,Level,Component,PID,Content,EventTemplate,Regex
Jun,9,06:06:20,combo,kernel,,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved), bios-e820:  <*>  -  <*>   ( reserved )  , bios-e820: (.*?) - (.*?)  ( reserved ) 
Jun,9,06:06:20,combo,kernel,,Calibrating delay loop... 1441.79 BogoMIPS, Calibrating  delay  loop...  1441.79  BogoMIPS , Calibrating delay loop... 1441.79 BogoMIPS 
Jun,9,06:06:20,combo,kernel,,Security Scaffold v1.0.0 initialized, Security  Scaffold  <*>  initialized , Security Scaffold (.*?) initialized 
Jun,9,06:06:21,combo,kernel,,CPU: L2 cache: 256K, CPU:  L2  cache:  256K , CPU: L2 cache: 256K 
Jun,9,06:06:21,combo,kernel,,usbcore: registered new driver usbfs, usbcore:  registered  new  driver  usbfs , usbcore: registered new driver usbfs 
Jun,9,06:06:21,combo,kernel,,Transparent bridge - 0000:00:1e.0, Transparent  bridge  -  0000:00:1e.0 , Transparent bridge - 0000:00:1e.0 
Jun,9,06:06:21,combo,kernel,,Real Time Clock Driver v1.12, Real  Time  Clock  Driver  v1.12 , Real Time Clock Driver v1.12 
Jun,9,06:06:24,combo,apmd,1717,Charge: * * * (-1% unknown), Charge:         ( <*> unknown )  , Charge:     ( (.*?) unknown ) 
Jun,9,06:06:24,combo,smartd,1755,Monitoring 1 ATA and 0 SCSI devices, Monitoring <*> ATA  and <*> SCSI  devices , Monitoring (.*?) ATA and (.*?) SCSI devices 
Jun,9,06:06:24,combo,kernel,,ide-floppy driver 0.99.newide, ide-floppy  driver  <*> , ide-floppy driver (.*?) 
Jun,9,06:06:25,combo,kernel,,input: AT Translated Set 2 keyboard on isa0060/serio0, input:  AT  Translated  Set <*> keyboard  on  isa0060/serio0 , input: AT Translated Set (.*?) keyboard on isa0060/serio0 
Jun,9,06:06:26,combo,kernel,,EXT3-fs: hda2: orphan cleanup on readonly fs, EXT3-fs:  hda2:  orphan  cleanup  on  readonly  fs , EXT3-fs: hda2: orphan cleanup on readonly fs 
Jun,9,06:06:28,combo,kernel,,SELinux:  Unregistering netfilter hooks, SELinux:  Unregistering  netfilter  hooks , SELinux: Unregistering netfilter hooks 
Jun,9,06:06:34,combo,kernel,,Bluetooth: RFCOMM ver 1.2, Bluetooth:  RFCOMM  ver  1.2 , Bluetooth: RFCOMM ver 1.2 
Jun,9,06:07:06,combo,httpd,,httpd startup succeeded, httpd  startup  succeeded , httpd startup succeeded 
Jun,9,10:07:13,combo,named,2275,"listening on IPv4 interface eth0:3, 63.126.79.71#53", listening  on  ipv4  interface  <*>   <*> , listening on ipv4 interface (.*?)  (.*?) 
Jun,9,10:07:22,combo,named,2275,couldn't add command channel ::1#953: not found," ""couldnt""  add  command  channel  ::1953:  not  found "," ""couldnt"" add command channel ::1953: not found "
Jun,9,06:07:23,combo,rsyncd,2360,"rsyncd version 2.6.2 starting, listening on port 873", rsyncd  version  <*>  starting   listening  on  port <*> , rsyncd version (.*?) starting  listening on port (.*?) 
Jun,9,06:07:26,combo,udev,2587,removing device node '/udev/vcsa1'," removing  device  node  ""/<*>"" "," removing device node ""/(.*?)"" "
Jun,9,06:07:26,combo,udev,2596,removing device node '/udev/vcs5'," removing  device  node  ""/<*>"" "," removing device node ""/(.*?)"" "
Jun,9,06:07:27,combo,udev,2724,creating device node '/udev/vcs1'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,9,06:07:27,combo,udev,2631,creating device node '/udev/vcs6'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,9,06:07:34,combo,udev,2903,creating device node '/udev/vcs7'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,9,06:10:35,combo,ntpd,2296,"synchronized to LOCAL(0), stratum=10", synchronized  to  LOCAL ( <*> )    stratum = <*> , synchronized to LOCAL ( (.*?) )  stratum = (.*?) 
Jun,10,11:31:44,combo,syslogd 1.4.1,,restart., restart. , restart. 
Jun,10,11:31:44,combo,kernel,,0MB HIGHMEM available., 0MB  HIGHMEM  available. , 0MB HIGHMEM available. 
Jun,10,11:31:44,combo,kernel,,PID hash table entries: 512 (order 9: 4096 bytes), PID  hash  table  entries: <*> ( order  9: <*> bytes )  , PID hash table entries: (.*?) ( order 9: (.*?) bytes ) 
Jun,10,11:31:45,combo,kernel,,Checking 'hlt' instruction... OK.," Checking  ""hlt""  instruction...  OK. "," Checking ""hlt"" instruction... OK. "
Jun,10,11:31:45,combo,kernel,,ACPI: Interpreter disabled., ACPI:  Interpreter  disabled. , ACPI: Interpreter disabled. 
Jun,10,11:31:46,combo,hcid,1708,HCI daemon ver 2.4 started, HCI  daemon  ver  2.4  started , HCI daemon ver 2.4 started 
Jun,10,11:31:41,combo,network,,Setting network parameters:  succeeded, Setting  network  parameters:  succeeded , Setting network parameters: succeeded 
Jun,10,11:31:46,combo,kernel,,ttyS0 at I/O 0x3f8 (irq = 4) is a 16550A, ttyS0  at  I/O  <*>   ( irq   = <*> )   is  a  16550A , ttyS0 at I/O (.*?)  ( irq  = (.*?) )  is a 16550A 
Jun,10,11:31:47,combo,kernel,,hda: max request size: 128KiB, hda:  max  request  size:  128KiB , hda: max request size: 128KiB 
Jun,10,11:31:47,combo,kernel,,usbcore: registered new driver hid, usbcore:  registered  new  driver  hid , usbcore: registered new driver hid 
Jun,10,11:31:47,combo,kernel,,drivers/usb/input/hid-core.c: v2.0:USB HID core driver, drivers/usb/input/hid-core.c:  v2.0:USB  HID  core  driver , drivers/usb/input/hid-core.c: v2.0:USB HID core driver 
Jun,10,11:31:47,combo,kernel,,kjournald starting.  Commit interval 5 seconds, kjournald  starting.  Commit  interval <*> seconds , kjournald starting. Commit interval (.*?) seconds 
Jun,10,11:31:49,combo,kernel,,cdrom: open failed., cdrom:  open  failed. , cdrom: open failed. 
Jun,10,11:31:50,combo,kernel,,microcode: CPU0 already at revision 0x8 (current=0x8), microcode:  CPU0  already  at  revision  <*>   ( current = <*> )  , microcode: CPU0 already at revision (.*?)  ( current = (.*?) ) 
Jun,10,11:31:51,combo,kernel,,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]", parport0:  PC-style  at  <*>   ( <*> )    [ PCSPP TRISTATE EPP ]  , parport0: PC-style at (.*?)  ( (.*?) )  [ PCSPP TRISTATE EPP ] 
Jun,10,11:31:54,combo,kernel,,Bluetooth: HCI socket layer initialized, Bluetooth:  HCI  socket  layer  initialized , Bluetooth: HCI socket layer initialized 
Jun,10,11:32:02,combo,xinetd,2034,No such internal service: services/stream - DISABLING, No  such  internal  service:  services/stream  -  DISABLING , No such internal service: services/stream - DISABLING 
Jun,10,11:32:03,combo,xinetd,2034,bind failed (Address already in use (errno = 98)). service = telnet, bind  failed   ( Address  already  in  use   ( errno   = <*> )  ) .  service   =   telnet , bind failed  ( Address already in use  ( errno  = (.*?) ) ) . service  =  telnet 
Jun,10,11:32:05,combo,spamassassin,,spamd startup succeeded, spamd  startup  succeeded , spamd startup succeeded 
Jun,10,11:32:06,combo,privoxy,,privoxy startup succeeded, privoxy  startup  succeeded , privoxy startup succeeded 
Jun,10,11:32:07,combo,su(pam_unix),2103,session opened for user htt by (uid=0), session  opened  for  user  htt  by   ( uid = <*> )  , session opened for user htt by  ( uid = (.*?) ) 
Jun,10,15:32:34,combo,named,2306,"listening on IPv4 interface lo, 127.0.0.1#53", listening  on  IPv4  interface  lo   <*> , listening on IPv4 interface lo  (.*?) 
Jun,10,15:32:34,combo,named,2306,"listening on IPv4 interface eth0:1, 63.126.79.69#53", listening  on  ipv4  interface  <*>   <*> , listening on ipv4 interface (.*?)  (.*?) 
Jun,10,15:32:43,combo,named,2306,"listening on IPv4 interface eth0:20, 63.126.79.115#53", listening  on  ipv4  interface  <*>   <*> , listening on ipv4 interface (.*?)  (.*?) 
Jun,10,15:32:46,combo,named,2306,running, running , running 
Jun,10,11:32:48,combo,udev,2516,creating device node '/udev/vcs5'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,10,11:32:48,combo,udev,2583,creating device node '/udev/vcsa2'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,10,11:32:49,combo,udev,2652,removing device node '/udev/vcsa3'," removing  device  node  ""/<*>"" "," removing device node ""/(.*?)"" "
Jun,10,11:32:50,combo,udev,2729,creating device node '/udev/vcs2'," creating  device  node  ""/<*>"" "," creating device node ""/(.*?)"" "
Jun,10,11:32:51,combo,udev,2755,removing device node '/udev/vcsa6'," removing  device  node  ""/<*>"" "," removing device node ""/(.*?)"" "
Jun,10,11:32:55,combo,udev,2833,removing device node '/udev/vcs7'," removing  device  node  ""/<*>"" "," removing device node ""/(.*?)"" "
Jun,11,03:28:22,combo,ftpd,4304,connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,12,00:07:45,combo,ftpd,7714,connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005, connection  from  <*>   (  )   at  Sun  Jun <*> <*> <*> , connection from (.*?)  ( )  at Sun Jun (.*?) (.*?) (.*?) 
Jun,12,00:07:46,combo,ftpd,7731,connection from 222.33.90.199 () at Sun Jun 12 00:07:46 2005, connection  from  <*>   (  )   at  Sun  Jun <*> <*> <*> , connection from (.*?)  ( )  at Sun Jun (.*?) (.*?) (.*?) 
Jun,12,01:12:14,combo,sshd(pam_unix),7828,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = test , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = test 
Jun,12,05:24:13,combo,sshd(pam_unix),12286,session closed for user test, session  closed  for  user  test , session closed for user test 
Jun,13,02:01:27,combo,ftpd,14116,connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,02:01:27,combo,ftpd,14115,connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,02:01:27,combo,ftpd,14113,connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,04:03:08,combo,su(pam_unix),14659,session closed for user cyrus, session  closed  for  user  cyrus , session closed for user cyrus 
Jun,13,09:09:44,combo,ftpd,16387,connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,09:09:44,combo,ftpd,16374,connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,09:09:44,combo,ftpd,16380,connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,10:18:09,combo,sshd(pam_unix),16519,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,13,12:49:32,combo,ftpd,16731,connection from 65.35.73.251 (251-73.35-65.tampabay.res.rr.com) at Mon Jun 13 12:49:32 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,12:49:32,combo,ftpd,16741,connection from 65.35.73.251 (251-73.35-65.tampabay.res.rr.com) at Mon Jun 13 12:49:32 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,12:49:32,combo,ftpd,16743,connection from 65.35.73.251 (251-73.35-65.tampabay.res.rr.com) at Mon Jun 13 12:49:32 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,12:49:32,combo,ftpd,16752,connection from 65.35.73.251 (251-73.35-65.tampabay.res.rr.com) at Mon Jun 13 12:49:32 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,13,15:05:15,combo,sshd(pam_unix),16973,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,13,15:10:30,combo,sshd(pam_unix),16984,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=under-eepc58.kaist.ac.kr  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,13,15:10:30,combo,sshd(pam_unix),16997,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=under-eepc58.kaist.ac.kr  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,13,20:13:11,combo,sshd(pam_unix),17423,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=under-eepc58.kaist.ac.kr, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,14,04:07:35,combo,su(pam_unix),18485,session opened for user cyrus by (uid=0), session  opened  for  user  cyrus  by   ( uid = <*> )  , session opened for user cyrus by  ( uid = (.*?) ) 
Jun,14,15:14:56,combo,sshd(pam_unix),19929,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
